dt,open,high,low,close,volume
2021-02-24,1.968e-05,2.145e-05,1.907e-05,2.11e-05,239411129.0
2021-02-25,2.11e-05,2.337e-05,2.029e-05,2.285e-05,256206461.0
2021-02-26,2.286e-05,2.751e-05,2.207e-05,2.686e-05,472075149.0
2021-02-27,2.686e-05,3.198e-05,2.589e-05,2.85e-05,603431563.0
2021-02-28,2.852e-05,3e-05,2.6e-05,2.909e-05,373290851.0
2021-03-01,2.909e-05,2.918e-05,2.566e-05,2.615e-05,279697594.0
2021-03-02,2.614e-05,2.617e-05,2.404e-05,2.524e-05,193442652.0
2021-03-03,2.524e-05,2.544e-05,2.389e-05,2.408e-05,120659601.0
2021-03-04,2.409e-05,2.449e-05,2.238e-05,2.3e-05,180676795.0
2021-03-05,2.3e-05,2.468e-05,2.203e-05,2.378e-05,193929299.0
2021-03-06,2.377e-05,2.41e-05,2.218e-05,2.31e-05,76697149.0
2021-03-07,2.31e-05,2.313e-05,2.201e-05,2.217e-05,84515578.0
2021-03-08,2.217e-05,2.287e-05,2.135e-05,2.135e-05,107504988.0
2021-03-09,2.135e-05,2.259e-05,2.081e-05,2.181e-05,178416024.0
2021-03-10,2.182e-05,2.189e-05,2.002e-05,2.028e-05,129571908.0
2021-03-11,2.028e-05,2.061e-05,1.916e-05,1.947e-05,95905244.0
2021-03-12,1.945e-05,1.977e-05,1.797e-05,1.805e-05,118441112.0
2021-03-13,1.805e-05,1.979e-05,1.756e-05,1.799e-05,156805183.0
2021-03-14,1.798e-05,1.817e-05,1.754e-05,1.786e-05,72000392.0
2021-03-15,1.785e-05,1.867e-05,1.745e-05,1.853e-05,109290670.0
2021-03-16,1.854e-05,2.326e-05,1.844e-05,2.197e-05,365027183.0
2021-03-17,2.197e-05,2.479e-05,2.132e-05,2.338e-05,321561136.0
2021-03-18,2.339e-05,2.52e-05,2.092e-05,2.134e-05,420396321.0
2021-03-19,2.133e-05,2.298e-05,2.092e-05,2.232e-05,181405787.0
2021-03-20,2.232e-05,2.238e-05,2.063e-05,2.066e-05,101426300.0
2021-03-21,2.066e-05,2.151e-05,2.041e-05,2.068e-05,69943004.0
2021-03-22,2.067e-05,2.095e-05,1.967e-05,2.037e-05,108087724.0
2021-03-23,2.037e-05,2.126e-05,2.027e-05,2.053e-05,85446881.0
2021-03-24,2.053e-05,2.068e-05,2.001e-05,2.042e-05,87657099.0
2021-03-25,2.043e-05,2.232e-05,2.024e-05,2.136e-05,135523196.0
2021-03-26,2.136e-05,2.439e-05,2.109e-05,2.205e-05,278138517.0
2021-03-27,2.206e-05,2.235e-05,2.096e-05,2.108e-05,63416584.0
2021-03-28,2.108e-05,2.171e-05,2.095e-05,2.133e-05,58328326.0
2021-03-29,2.134e-05,2.186e-05,2.069e-05,2.086e-05,67944474.0
2021-03-30,2.087e-05,2.099e-05,2.05e-05,2.062e-05,55639005.0
2021-03-31,2.063e-05,2.064e-05,1.985e-05,2.028e-05,72589151.0
2021-04-01,2.028e-05,2.04e-05,2.006e-05,2.014e-05,57125028.0
2021-04-02,2.016e-05,2.091e-05,1.986e-05,2.019e-05,69734934.0
2021-04-03,2.018e-05,2.09e-05,2.016e-05,2.037e-05,72662903.0
2021-04-04,2.038e-05,2.062e-05,2.022e-05,2.031e-05,49100126.0
2021-04-05,2.031e-05,2.084e-05,2.021e-05,2.049e-05,81132615.0
2021-04-06,2.05e-05,2.295e-05,2.019e-05,2.159e-05,196918051.0
2021-04-07,2.159e-05,2.225e-05,2.076e-05,2.097e-05,88145804.0
2021-04-08,2.097e-05,2.13e-05,2.086e-05,2.1e-05,53471673.0
2021-04-09,2.1e-05,2.109e-05,2.057e-05,2.069e-05,37412474.0
2021-04-10,2.069e-05,2.069e-05,1.995e-05,2.036e-05,77231579.0
2021-04-11,2.038e-05,2.158e-05,2.002e-05,2.106e-05,108874626.0
2021-04-12,2.107e-05,2.241e-05,2.1e-05,2.196e-05,150195478.0
2021-04-13,2.197e-05,2.274e-05,2.069e-05,2.222e-05,173537988.0
2021-04-14,2.222e-05,2.42e-05,2.152e-05,2.306e-05,246277469.0
2021-04-15,2.306e-05,2.383e-05,2.257e-05,2.341e-05,92222040.0
2021-04-16,2.341e-05,2.394e-05,2.211e-05,2.301e-05,134949810.0
2021-04-17,2.298e-05,2.349e-05,2.253e-05,2.28e-05,62035988.0
2021-04-18,2.281e-05,2.3e-05,2.022e-05,2.274e-05,159418034.0
2021-04-19,2.274e-05,2.32e-05,2.143e-05,2.147e-05,80555330.0
2021-04-20,2.148e-05,2.253e-05,2.076e-05,2.245e-05,80970338.0
2021-04-21,2.245e-05,2.302e-05,2.208e-05,2.237e-05,70292728.0
2021-04-22,2.238e-05,2.329e-05,2.195e-05,2.213e-05,100352643.0
2021-04-23,2.214e-05,2.287e-05,1.876e-05,2.265e-05,183829349.0
2021-04-24,2.266e-05,2.389e-05,2.2e-05,2.205e-05,73556369.0
2021-04-25,2.204e-05,2.277e-05,2.165e-05,2.223e-05,44967549.0
2021-04-26,2.223e-05,2.333e-05,2.208e-05,2.292e-05,61939839.0
2021-04-27,2.292e-05,2.425e-05,2.285e-05,2.375e-05,73216282.0
2021-04-28,2.375e-05,2.449e-05,2.289e-05,2.438e-05,68732680.0
2021-04-29,2.438e-05,2.59e-05,2.387e-05,2.438e-05,108165424.0
2021-04-30,2.439e-05,2.525e-05,2.326e-05,2.344e-05,72361518.0
2021-05-01,2.344e-05,2.36e-05,2.294e-05,2.338e-05,40334781.0
2021-05-02,2.339e-05,2.375e-05,2.3e-05,2.345e-05,36113196.0
2021-05-03,2.344e-05,2.385e-05,2.3e-05,2.383e-05,55693776.0
2021-05-04,2.383e-05,2.409e-05,2.312e-05,2.388e-05,69621094.0
2021-05-05,2.388e-05,2.626e-05,2.365e-05,2.578e-05,130533673.0
2021-05-06,2.578e-05,3.018e-05,2.526e-05,2.926e-05,251630191.0
2021-05-07,2.927e-05,3.086e-05,2.76e-05,2.884e-05,168355572.0
2021-05-08,2.883e-05,2.886e-05,2.679e-05,2.754e-05,84512826.0
2021-05-09,2.754e-05,3.192e-05,2.714e-05,3.033e-05,224134974.0
2021-05-10,3.033e-05,3.099e-05,2.83e-05,2.942e-05,141304022.0
2021-05-11,2.941e-05,3.175e-05,2.904e-05,3.11e-05,97238312.0
2021-05-12,3.113e-05,3.2e-05,3.05e-05,3.163e-05,117166326.0
2021-05-13,3.16e-05,3.964e-05,3.136e-05,3.882e-05,340220851.0
2021-05-14,3.881e-05,4.093e-05,3.67e-05,4.028e-05,148727505.0
2021-05-15,4.028e-05,4.85e-05,3.978e-05,4.653e-05,305695131.0
2021-05-16,4.651e-05,5.049e-05,4.518e-05,4.955e-05,227967737.0
2021-05-17,4.956e-05,5e-05,4.517e-05,4.664e-05,172989107.0
2021-05-18,4.665e-05,4.786e-05,4.528e-05,4.675e-05,92607578.0
2021-05-19,4.675e-05,4.691e-05,3.097e-05,4e-05,404183307.0
2021-05-20,4.002e-05,4.65e-05,3.773e-05,4.441e-05,190363898.0
2021-05-21,4.443e-05,4.479e-05,3.936e-05,4.156e-05,147535772.0
2021-05-22,4.157e-05,4.214e-05,3.813e-05,3.908e-05,100401828.0
2021-05-23,3.909e-05,4.037e-05,3.354e-05,3.786e-05,202057001.0
2021-05-24,3.791e-05,4.061e-05,3.589e-05,3.998e-05,151384321.0
2021-05-25,3.994e-05,4.15e-05,3.901e-05,4.049e-05,99216021.0
2021-05-26,4.051e-05,4.554e-05,4.05e-05,4.532e-05,131851327.0
2021-05-27,4.532e-05,4.568e-05,4.25e-05,4.297e-05,65276705.0
2021-05-28,4.297e-05,4.391e-05,4.112e-05,4.241e-05,95591685.0
2021-05-29,4.244e-05,4.316e-05,3.942e-05,4.055e-05,64770336.0
2021-05-30,4.057e-05,4.66e-05,4.016e-05,4.421e-05,108042540.0
2021-05-31,4.421e-05,4.7e-05,4.398e-05,4.662e-05,60088768.0
2021-06-01,4.663e-05,4.857e-05,4.583e-05,4.734e-05,70104943.0
2021-06-02,4.733e-05,4.895e-05,4.558e-05,4.668e-05,66857587.0
2021-06-03,4.667e-05,4.798e-05,4.59e-05,4.703e-05,55154617.0
2021-06-04,4.703e-05,4.722e-05,4.418e-05,4.638e-05,72810379.0
2021-06-05,4.638e-05,4.734e-05,4.618e-05,4.663e-05,42023542.0
2021-06-06,4.663e-05,4.707e-05,4.619e-05,4.684e-05,22244540.0
2021-06-07,4.685e-05,4.763e-05,4.633e-05,4.663e-05,38099703.0
2021-06-08,4.665e-05,4.747e-05,4.503e-05,4.74e-05,67027980.0
2021-06-09,4.74e-05,4.754e-05,4.317e-05,4.355e-05,51067305.0
2021-06-10,4.355e-05,4.364e-05,4.13e-05,4.178e-05,43693451.0
2021-06-11,4.178e-05,4.185e-05,3.839e-05,3.85e-05,47544903.0
2021-06-12,3.848e-05,4.168e-05,3.804e-05,4.161e-05,48075899.0
